"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Grant County, KY"	"21081"	10	24984	Unreliable	0.0%
	"Greenup County, KY"	"21089"	11	35518	Unreliable	0.0%
	"Hardin County, KY"	"21093"	16	108071	Unreliable	0.0%
	"Jefferson County, KY"	"21111"	256	771158	33.2	0.5%
	"Jessamine County, KY"	"21113"	29	53375	54.3	0.1%
	"Kenton County, KY"	"21117"	102	165399	61.7	0.2%
	"Knox County, KY"	"21121"	10	31227	Unreliable	0.0%
	"Madison County, KY"	"21151"	38	91226	41.7	0.1%
	"Mason County, KY"	"21161"	10	17174	Unreliable	0.0%
	"Montgomery County, KY"	"21173"	11	27928	Unreliable	0.0%
	"Nelson County, KY"	"21179"	14	45640	Unreliable	0.0%
	"Pike County, KY"	"21195"	10	58883	Unreliable	0.0%
	"Pulaski County, KY"	"21199"	10	64449	Unreliable	0.0%
	"Scott County, KY"	"21209"	12	54873	Unreliable	0.0%
	"Warren County, KY"	"21227"	10	128845	Unreliable	0.0%
	"Caddo Parish, LA"	"22017"	11	246581	Unreliable	0.0%
	"East Baton Rouge Parish, LA"	"22033"	20	446268	4.5	0.0%
	"Jefferson Parish, LA"	"22051"	136	439036	31.0	0.3%
	"Lafayette Parish, LA"	"22055"	10	242485	Unreliable	0.0%
	"Livingston Parish, LA"	"22063"	18	138228	Unreliable	0.0%
	"Orleans Parish, LA"	"22071"	30	393292	7.6	0.1%
	"Rapides Parish, LA"	"22079"	10	131648	Unreliable	0.0%
	"St. Tammany Parish, LA"	"22103"	64	256327	25.0	0.1%
	"Washington Parish, LA"	"22117"	27	46633	57.9	0.1%
	"Androscoggin County, ME"	"23001"	18	107651	Unreliable	0.0%
	"Cumberland County, ME"	"23005"	82	292500	28.0	0.2%
	"Kennebec County, ME"	"23011"	49	121821	40.2	0.1%
	"Penobscot County, ME"	"23019"	50	151957	32.9	0.1%
	"Somerset County, ME"	"23025"	17	50626	Unreliable	0.0%
	"Washington County, ME"	"23029"	14	31593	Unreliable	0.0%
	"York County, ME"	"23031"	77	204191	37.7	0.2%
	"Allegany County, MD"	"24001"	36	71615	50.3	0.1%
	"Anne Arundel County, MD"	"24003"	228	573235	39.8	0.5%
	"Baltimore County, MD"	"24005"	382	832468	45.9	0.8%
	"Calvert County, MD"	"24009"	30	91502	32.8	0.1%
	"Caroline County, MD"	"24011"	15	33193	Unreliable	0.0%
	"Carroll County, MD"	"24013"	56	167781	33.4	0.1%
	"Cecil County, MD"	"24015"	62	102746	60.3	0.1%
	"Charles County, MD"	"24017"	42	159700	26.3	0.1%
	"Dorchester County, MD"	"24019"	10	32162	Unreliable	0.0%
	"Frederick County, MD"	"24021"	73	252022	29.0	0.2%
	"Harford County, MD"	"24025"	103	252160	40.8	0.2%
	"Howard County, MD"	"24027"	56	321113	17.4	0.1%
	"Montgomery County, MD"	"24031"	108	1058810	10.2	0.2%
	"Prince George's County, MD"	"24033"	125	912756	13.7	0.3%
	"St. Mary's County, MD"	"24037"	37	112667	32.8	0.1%
	"Washington County, MD"	"24043"	51	150578	33.9	0.1%
	"Wicomico County, MD"	"24045"	28	102923	27.2	0.1%
	"Worcester County, MD"	"24047"	14	51690	Unreliable	0.0%
	"Baltimore city, MD"	"24510"	499	611648	81.6	1.0%
	"Barnstable County, MA"	"25001"	66	213444	30.9	0.1%
	"Berkshire County, MA"	"25003"	27	126313	21.4	0.1%
	"Bristol County, MA"	"25005"	231	561483	41.1	0.5%
	"Essex County, MA"	"25009"	285	785205	36.3	0.6%
	"Franklin County, MA"	"25011"	10	70702	Unreliable	0.0%
	"Hampden County, MA"	"25013"	111	469818	23.6	0.2%
	"Hampshire County, MA"	"25015"	27	161834	16.7	0.1%
	"Middlesex County, MA"	"25017"	322	1602947	20.1	0.7%
	"Norfolk County, MA"	"25021"	157	700322	22.4	0.3%
	"Plymouth County, MA"	"25023"	190	515142	36.9	0.4%
	"Suffolk County, MA"	"25025"	233	797939	29.2	0.5%
	"Worcester County, MA"	"25027"	235	826116	28.4	0.5%
	"Berrien County, MI"	"26021"	21	154259	13.6	0.0%
	"Calhoun County, MI"	"26025"	44	134128	32.8	0.1%
	"Eaton County, MI"	"26045"	13	109027	Unreliable	0.0%
	"Genesee County, MI"	"26049"	131	407385	32.2	0.3%
	"Grand Traverse County, MI"	"26055"	18	91807	Unreliable	0.0%
	"Ingham County, MI"	"26065"	69	290186	23.8	0.1%
	"Ionia County, MI"	"26067"	10	64291	Unreliable	0.0%
	"Kalamazoo County, MI"	"26077"	45	262985	17.1	0.1%
	"Kent County, MI"	"26081"	101	648594	15.6	0.2%
	"Lapeer County, MI"	"26087"	18	88174	Unreliable	0.0%
	"Lenawee County, MI"	"26091"	13	98623	Unreliable	0.0%
	"Livingston County, MI"	"26093"	38	189651	20.0	0.1%
	"Macomb County, MI"	"26099"	316	871375	36.3	0.7%
