Total Pop,Total Male Pop,Male 18-24 <9th,Male 18-24 no diploma,Male 18-24 HS grad or equiv,"Male 18-24 Some college, no degree",Male 18-24 Associates,Male 18-24 Bachelors,Male 18-24 Grad or Professional,Total Female Pop,Female 18-24 <9th,Female 18-24 no diploma,Female 18-24 HS grad or equiv,"Female 18-24 Some college, no degree",Female 18-24 Associates,Female 18-24 Bachelors,Female 18-24 Grad or Professional,25+ no schooling,25+ nursery school,25+ Kindergarten,25+ 1st grade,25+ 2nd grade,25+ 3rd grade,25+ 4th grade,25+ 5th grade,25+ 6th grade,25+ 7th grade,25+ 8th grade,25+ 9th grade,25+ 10th grade,25+ 11th grade,25+ 12th grade no diploma,25+ high school diploma,25+ GED or equivalent,25+ some college <1 yr,25+ some college >1 yr no degree,25+ Associates Degree,25+ Bachelors Degree,25+ Masters Degree,25+ Professional Degree,25+ PhD,County Name,County Code,state
23893.0,19189.0,41.0,81.0,502.0,408.0,159.0,24.0,0.0,1067.0,0.0,78.0,342.0,429.0,116.0,102.0,0.0,688.0,11.0,0.0,77.0,277.0,609.0,339.0,366.0,816.0,372.0,630.0,1177.0,414.0,610.0,81.0,4106.0,259.0,156.0,1470.0,1843.0,1881.0,461.0,101.0,163.0,"Lajas Municipio, Puerto Rico",079,72
23610.0,18580.0,0.0,214.0,472.0,325.0,84.0,49.0,0.0,1136.0,55.0,0.0,552.0,252.0,60.0,217.0,0.0,606.0,22.0,0.0,205.0,201.0,353.0,462.0,245.0,430.0,184.0,338.0,666.0,289.0,363.0,166.0,5148.0,350.0,224.0,1388.0,1510.0,2589.0,365.0,80.0,116.0,"Sabana Grande Municipio, Puerto Rico",121,72
18525.0,14396.0,84.0,165.0,186.0,471.0,31.0,0.0,0.0,856.0,8.0,116.0,86.0,466.0,14.0,147.0,19.0,572.0,18.0,0.0,80.0,160.0,508.0,310.0,222.0,541.0,339.0,396.0,676.0,313.0,356.0,152.0,2981.0,135.0,141.0,1683.0,733.0,1863.0,329.0,15.0,80.0,"Adjuntas Municipio, Puerto Rico",001,72
32936.0,26113.0,18.0,112.0,503.0,788.0,181.0,68.0,10.0,1643.0,65.0,95.0,178.0,945.0,226.0,120.0,14.0,805.0,17.0,0.0,128.0,169.0,223.0,576.0,512.0,1043.0,367.0,614.0,1111.0,344.0,484.0,114.0,5768.0,373.0,223.0,2585.0,2330.0,3799.0,941.0,69.0,195.0,"Camuy Municipio, Puerto Rico",027,72
17327.0,13599.0,22.0,115.0,334.0,280.0,24.0,32.0,0.0,833.0,0.0,122.0,221.0,307.0,63.0,111.0,9.0,171.0,55.0,0.0,104.0,81.0,113.0,320.0,201.0,416.0,376.0,480.0,621.0,423.0,437.0,90.0,4246.0,358.0,88.0,786.0,810.0,1339.0,346.0,17.0,81.0,"Guánica Municipio, Puerto Rico",055,72
16474.0,13407.0,39.0,38.0,265.0,299.0,21.0,31.0,0.0,685.0,33.0,40.0,78.0,442.0,43.0,49.0,0.0,351.0,6.0,29.0,53.0,112.0,266.0,188.0,157.0,429.0,386.0,141.0,532.0,215.0,138.0,148.0,3162.0,426.0,227.0,1560.0,900.0,2022.0,493.0,62.0,26.0,"Hormigueros Municipio, Puerto Rico",067,72
40705.0,31823.0,59.0,104.0,681.0,812.0,193.0,97.0,0.0,2005.0,15.0,82.0,675.0,943.0,238.0,52.0,0.0,1022.0,9.0,0.0,186.0,233.0,499.0,637.0,450.0,771.0,740.0,817.0,855.0,392.0,1235.0,167.0,7395.0,362.0,368.0,2557.0,3025.0,4921.0,861.0,204.0,166.0,"Manatí Municipio, Puerto Rico",091,72
26584.0,20274.0,36.0,105.0,447.0,576.0,86.0,23.0,0.0,1361.0,0.0,120.0,475.0,657.0,55.0,54.0,0.0,492.0,0.0,0.0,59.0,325.0,465.0,667.0,337.0,375.0,292.0,562.0,867.0,469.0,231.0,236.0,5223.0,207.0,101.0,1774.0,1447.0,2792.0,643.0,41.0,35.0,"Naguabo Municipio, Puerto Rico",103,72
29112.0,22782.0,18.0,60.0,240.0,1019.0,77.0,136.0,0.0,1425.0,0.0,145.0,324.0,671.0,149.0,136.0,0.0,797.0,38.0,0.0,125.0,134.0,251.0,450.0,150.0,944.0,435.0,432.0,752.0,385.0,608.0,364.0,4758.0,383.0,478.0,2940.0,2033.0,2835.0,421.0,83.0,11.0,"Naranjito Municipio, Puerto Rico",105,72
32937.0,26259.0,92.0,274.0,524.0,786.0,15.0,60.0,0.0,1714.0,23.0,116.0,467.0,882.0,87.0,139.0,0.0,751.0,17.0,9.0,275.0,136.0,499.0,424.0,456.0,1035.0,467.0,594.0,1386.0,295.0,442.0,166.0,6099.0,916.0,293.0,1951.0,1358.0,3909.0,1009.0,171.0,136.0,"San Germán Municipio, Puerto Rico",125,72
30209.0,23792.0,69.0,79.0,542.0,616.0,98.0,92.0,0.0,1417.0,53.0,132.0,289.0,613.0,113.0,217.0,0.0,579.0,0.0,0.0,249.0,176.0,454.0,648.0,365.0,752.0,335.0,611.0,1098.0,390.0,330.0,200.0,5653.0,466.0,296.0,2768.0,1759.0,3059.0,512.0,74.0,105.0,"Utuado Municipio, Puerto Rico",141,72
89550.0,71478.0,103.0,423.0,1341.0,1855.0,525.0,355.0,0.0,4240.0,67.0,287.0,1111.0,1944.0,382.0,449.0,0.0,1875.0,63.0,10.0,401.0,507.0,847.0,1197.0,965.0,1751.0,1130.0,1561.0,2968.0,885.0,1182.0,574.0,17036.0,1744.0,976.0,7206.0,5999.0,10461.0,2379.0,350.0,569.0,"Arecibo Municipio, Puerto Rico",013,72
18504.0,14189.0,15.0,84.0,414.0,313.0,19.0,16.0,0.0,921.0,0.0,89.0,588.0,189.0,55.0,0.0,0.0,304.0,0.0,0.0,100.0,135.0,170.0,216.0,70.0,378.0,337.0,166.0,367.0,319.0,327.0,206.0,4817.0,105.0,322.0,1058.0,1084.0,1685.0,201.0,28.0,12.0,"Arroyo Municipio, Puerto Rico",015,72
25595.0,19915.0,92.0,168.0,436.0,490.0,54.0,14.0,10.0,1312.0,17.0,92.0,467.0,535.0,45.0,156.0,0.0,510.0,0.0,0.0,61.0,183.0,275.0,266.0,200.0,453.0,493.0,373.0,719.0,452.0,556.0,230.0,4468.0,528.0,310.0,2102.0,1729.0,2416.0,564.0,294.0,157.0,"Cataño Municipio, Puerto Rico",033,72
