STCOUNTYFP,County,Deaths,Population,Crude Rate,% of Total Deaths
34007,"Camden County, NJ",14,510719,Unreliable,0.00%
34009,"Cape May County, NJ",44,93553,47,0.10%
34011,"Cumberland County, NJ",71,152538,46.5,0.10%
34013,"Essex County, NJ",252,808285,31.2,0.50%
34015,"Gloucester County, NJ",16,292206,Unreliable,0.00%
34017,"Hudson County, NJ",117,691643,16.9,0.20%
34019,"Hunterdon County, NJ",22,125059,17.6,0.00%
34021,"Mercer County, NJ",80,374733,21.3,0.20%
34023,"Middlesex County, NJ",204,842798,24.2,0.40%
34025,"Monmouth County, NJ",165,626351,26.3,0.30%
34027,"Morris County, NJ",96,499693,19.2,0.20%
34029,"Ocean County, NJ",190,597943,31.8,0.40%
34031,"Passaic County, NJ",100,512607,19.5,0.20%
34035,"Somerset County, NJ",56,335432,16.7,0.10%
34037,"Sussex County, NJ",34,141682,24,0.10%
34039,"Union County, NJ",106,563892,18.8,0.20%
34041,"Warren County, NJ",38,106798,35.6,0.10%
35001,"Bernalillo County, NM",131,676773,19.4,0.30%
35005,"Chaves County, NM",10,64866,Unreliable,0.00%
35013,"Dona Ana County, NM",22,215579,10.2,0.00%
35015,"Eddy County, NM",12,56997,Unreliable,0.00%
35039,"Rio Arriba County, NM",28,39159,71.5,0.10%
35043,"Sandoval County, NM",21,142507,14.7,0.00%
35045,"San Juan County, NM",14,126926,Unreliable,0.00%
35049,"Santa Fe County, NM",31,148750,20.8,0.10%
35061,"Valencia County, NM",17,75940,Unreliable,0.00%
36001,"Albany County, NY",41,309612,13.2,0.10%
36005,"Bronx County, NY",284,1471160,19.3,0.60%
36007,"Broome County, NY",43,193639,22.2,0.10%
36011,"Cayuga County, NY",20,77603,25.8,0.00%
36013,"Chautauqua County, NY",31,129046,24,0.10%
36015,"Chemung County, NY",12,85557,Unreliable,0.00%
36021,"Columbia County, NY",19,60604,Unreliable,0.00%
36023,"Cortland County, NY",13,47786,Unreliable,0.00%
36027,"Dutchess County, NY",87,295568,29.4,0.20%
36029,"Erie County, NY",243,925528,26.3,0.50%
36037,"Genesee County, NY",11,57956,Unreliable,0.00%
36039,"Greene County, NY",12,47470,Unreliable,0.00%
36045,"Jefferson County, NY",15,114187,Unreliable,0.00%
36047,"Kings County, NY",295,2648771,11.1,0.60%
36049,"Lewis County, NY",12,26551,Unreliable,0.00%
36055,"Monroe County, NY",188,747642,25.1,0.40%
36059,"Nassau County, NY",188,1369514,13.7,0.40%
36061,"New York County, NY",201,1664727,12.1,0.40%
36063,"Niagara County, NY",41,211328,19.4,0.10%
36065,"Oneida County, NY",52,231332,22.5,0.10%
36067,"Onondaga County, NY",80,465398,17.2,0.20%
36069,"Ontario County, NY",21,109899,19.1,0.00%
36071,"Orange County, NY",82,382226,21.5,0.20%
36075,"Oswego County, NY",18,118478,Unreliable,0.00%
36079,"Putnam County, NY",24,99323,24.2,0.10%
36081,"Queens County, NY",227,2358582,9.6,0.50%
36083,"Rensselaer County, NY",16,159722,Unreliable,0.00%
36085,"Richmond County, NY",100,479458,20.9,0.20%
36087,"Rockland County, NY",35,328868,10.6,0.10%
36091,"Saratoga County, NY",11,229869,Unreliable,0.00%
36093,"Schenectady County, NY",33,155565,21.2,0.10%
36101,"Steuben County, NY",12,96281,Unreliable,0.00%
36103,"Suffolk County, NY",430,1492953,28.8,0.90%
36105,"Sullivan County, NY",26,75485,34.4,0.10%
36109,"Tompkins County, NY",19,104802,Unreliable,0.00%
36111,"Ulster County, NY",45,179417,25.1,0.10%
36119,"Westchester County, NY",120,980244,12.2,0.30%
37001,"Alamance County, NC",34,162391,20.9,0.10%
37013,"Beaufort County, NC",17,47088,Unreliable,0.00%
37019,"Brunswick County, NC",44,130897,33.6,0.10%
37021,"Buncombe County, NC",90,257607,34.9,0.20%
37023,"Burke County, NC",21,89293,23.5,0.00%
37025,"Cabarrus County, NC",62,206872,30,0.10%
37027,"Caldwell County, NC",13,81981,Unreliable,0.00%
37031,"Carteret County, NC",16,68881,Unreliable,0.00%
37035,"Catawba County, NC",32,157974,20.3,0.10%
37047,"Columbus County, NC",12,55936,Unreliable,0.00%
37049,"Craven County, NC",32,102578,31.2,0.10%
37051,"Cumberland County, NC",82,332546,24.7,0.20%
37053,"Currituck County, NC",10,26331,Unreliable,0.00%
37055,"Dare County, NC",11,36099,Unreliable,0.00%
37057,"Davidson County, NC",48,165466,29,0.10%
37063,"Durham County, NC",37,311640,11.9,0.10%
37067,"Forsyth County, NC",76,376320,20.2,0.20%
37069,"Franklin County, NC",10,66168,Unreliable,0.00%
37071,"Gaston County, NC",48,220182,21.8,0.10%
37077,"Granville County, NC",11,59557,Unreliable,0.00%
37081,"Guilford County, NC",98,526953,18.6,0.20%
37085,"Harnett County, NC",31,132754,23.4,0.10%
37087,"Haywood County, NC",16,61084,Unreliable,0.00%
37089,"Henderson County, NC",25,115708,21.6,0.10%
37097,"Iredell County, NC",28,175711,15.9,0.10%
37101,"Johnston County, NC",31,196708,15.8,0.10%
37105,"Lee County, NC",18,60430,Unreliable,0.00%
37107,"Lenoir County, NC",13,56883,Unreliable,0.00%
37111,"McDowell County, NC",11,45159,Unreliable,0.00%
37119,"Mecklenburg County, NC",161,1076837,15,0.30%
37125,"Moore County, NC",10,97264,Unreliable,0.00%
37129,"New Hanover County, NC",73,227198,32.1,0.20%
37133,"Onslow County, NC",28,193893,14.4,0.10%
37141,"Pender County, NC",14,60958,Unreliable,0.00%
37147,"Pitt County, NC",42,179042,23.5,0.10%
37151,"Randolph County, NC",48,143282,33.5,0.10%
37155,"Robeson County, NC",16,132606,Unreliable,0.00%
37157,"Rockingham County, NC",18,90949,Unreliable,0.00%
37159,"Rowan County, NC",60,140644,42.7,0.10%
37161,"Rutherford County, NC",18,66551,Unreliable,0.00%
37167,"Stanly County, NC",12,61482,Unreliable,0.00%
